cell,grief,slots,decay,exempt,seed,n_parents,n_bereaved,n_nonbereaved,martyr_selfneglect,vigil_death_rate,released,alive_latched,median_vigil_len,nonb_selfneglect,nonb_death_rate,final_pop,extinct
d0.002_s1,1,1,0.002,,0,411,88,323,0.7727,0.9886,0,1,19,0.709,0.7337,250,0
d0.002_s1,1,1,0.002,,1,108,54,54,0.8148,0.8704,0,7,116,0.4444,0.463,250,0
d0.002_s1,1,1,0.002,,2,106,41,65,0.8293,0.9512,0,2,68,0.3385,0.3692,250,0
d0.002_s1,1,1,0.002,,3,102,42,60,0.9524,0.9762,0,1,66,0.2833,0.3,250,0
d0.002_s1,1,1,0.002,,4,179,87,92,0.8161,0.9195,0,7,52,0.7609,0.7935,250,0
d0.002_s1,1,1,0.002,,5,100,45,55,0.8444,0.9778,0,1,91,0.2909,0.3091,250,0
d0.002_s1,1,1,0.002,,6,95,40,55,0.7,1.0,0,0,64,0.2,0.2727,250,0
d0.002_s1,1,1,0.002,,7,108,34,74,0.7941,0.9706,0,1,73,0.2432,0.2838,250,0
d0.002_s2,1,2,0.002,,0,957,151,806,0.0728,1.0,0,0,21,0.0298,0.8747,250,0
d0.002_s2,1,2,0.002,,1,102,43,59,0.5581,0.7907,2,7,87,0.339,0.7966,250,0
d0.002_s2,1,2,0.002,,2,93,53,40,0.3962,0.8302,2,7,70,0.075,0.475,250,0
d0.002_s2,1,2,0.002,,3,144,63,81,0.3175,0.7302,0,17,35,0.358,0.9259,250,0
d0.002_s2,1,2,0.002,,4,181,83,98,0.5181,0.9277,0,6,28,0.2959,0.898,250,0
d0.002_s2,1,2,0.002,,5,115,45,70,0.4,0.4667,18,6,96,0.5,0.5143,250,0
d0.002_s2,1,2,0.002,,6,101,47,54,0.6596,0.8511,1,6,79,0.2593,0.6667,250,0
d0.002_s2,1,2,0.002,,7,103,54,49,0.5556,0.7963,1,10,91,0.1224,0.2449,250,0
d0.002_s3,1,3,0.002,,0,1358,203,1155,0.0394,0.9754,0,5,26,0.11,0.897,250,0
d0.002_s3,1,3,0.002,,1,98,44,54,0.5227,0.8409,2,5,38,0.3704,0.8889,250,0
