cell,learning,gradient,seed,survival_time,survived
learn_on__grad_on,True,True,0,1500.0,1
learn_on__grad_on,True,True,1,1500.0,1
learn_on__grad_on,True,True,2,1500.0,1
learn_on__grad_on,True,True,3,1500.0,1
learn_on__grad_on,True,True,4,1500.0,1
learn_on__grad_on,True,True,5,1500.0,1
learn_on__grad_on,True,True,6,1500.0,1
learn_on__grad_on,True,True,7,1500.0,1
learn_on__grad_on,True,True,8,1500.0,1
learn_on__grad_on,True,True,9,1500.0,1
learn_on__grad_on,True,True,10,1500.0,1
learn_on__grad_on,True,True,11,1500.0,1
learn_on__grad_on,True,True,12,1500.0,1
learn_on__grad_on,True,True,13,1500.0,1
learn_on__grad_on,True,True,14,1500.0,1
learn_on__grad_on,True,True,15,1500.0,1
learn_on__grad_on,True,True,16,1500.0,1
learn_on__grad_on,True,True,17,1500.0,1
learn_on__grad_on,True,True,18,1500.0,1
learn_on__grad_on,True,True,19,1500.0,1
learn_frozen__grad_on,False,True,0,1500.0,1
learn_frozen__grad_on,False,True,1,1500.0,1
learn_frozen__grad_on,False,True,2,1500.0,1
learn_frozen__grad_on,False,True,3,1500.0,1
learn_frozen__grad_on,False,True,4,1500.0,1
learn_frozen__grad_on,False,True,5,1500.0,1
learn_frozen__grad_on,False,True,6,1500.0,1
learn_frozen__grad_on,False,True,7,1500.0,1
learn_frozen__grad_on,False,True,8,1500.0,1
learn_frozen__grad_on,False,True,9,1500.0,1
learn_frozen__grad_on,False,True,10,1500.0,1
learn_frozen__grad_on,False,True,11,1500.0,1
learn_frozen__grad_on,False,True,12,1500.0,1
learn_frozen__grad_on,False,True,13,1500.0,1
learn_frozen__grad_on,False,True,14,1500.0,1
learn_frozen__grad_on,False,True,15,1500.0,1
learn_frozen__grad_on,False,True,16,1500.0,1
learn_frozen__grad_on,False,True,17,1500.0,1
learn_frozen__grad_on,False,True,18,1500.0,1
learn_frozen__grad_on,False,True,19,1500.0,1
learn_on__grad_off,True,False,0,100.0,0
learn_on__grad_off,True,False,1,100.0,0
learn_on__grad_off,True,False,2,100.0,0
learn_on__grad_off,True,False,3,100.0,0
learn_on__grad_off,True,False,4,1500.0,1
learn_on__grad_off,True,False,5,1500.0,1
learn_on__grad_off,True,False,6,100.0,0
learn_on__grad_off,True,False,7,100.0,0
learn_on__grad_off,True,False,8,100.0,0
learn_on__grad_off,True,False,9,100.0,0
learn_on__grad_off,True,False,10,100.0,0
learn_on__grad_off,True,False,11,100.0,0
learn_on__grad_off,True,False,12,100.0,0
learn_on__grad_off,True,False,13,100.0,0
learn_on__grad_off,True,False,14,1500.0,1
learn_on__grad_off,True,False,15,1500.0,1
learn_on__grad_off,True,False,16,100.0,0
learn_on__grad_off,True,False,17,100.0,0
learn_on__grad_off,True,False,18,100.0,0
learn_on__grad_off,True,False,19,100.0,0
learn_frozen__grad_off,False,False,0,100.0,0
learn_frozen__grad_off,False,False,1,100.0,0
learn_frozen__grad_off,False,False,2,100.0,0
learn_frozen__grad_off,False,False,3,100.0,0
learn_frozen__grad_off,False,False,4,1500.0,1
learn_frozen__grad_off,False,False,5,1500.0,1
learn_frozen__grad_off,False,False,6,100.0,0
learn_frozen__grad_off,False,False,7,100.0,0
learn_frozen__grad_off,False,False,8,100.0,0
learn_frozen__grad_off,False,False,9,100.0,0
learn_frozen__grad_off,False,False,10,100.0,0
learn_frozen__grad_off,False,False,11,100.0,0
learn_frozen__grad_off,False,False,12,100.0,0
learn_frozen__grad_off,False,False,13,100.0,0
learn_frozen__grad_off,False,False,14,1500.0,1
learn_frozen__grad_off,False,False,15,1500.0,1
learn_frozen__grad_off,False,False,16,100.0,0
learn_frozen__grad_off,False,False,17,100.0,0
learn_frozen__grad_off,False,False,18,100.0,0
learn_frozen__grad_off,False,False,19,100.0,0
