condition,ablation,seed,impl,n_agents,R_s,volatility_cv,osc_period,end_slope,censored,cap_bound,still_climbing,hazard_beta,hazard_se,cox_age_beta,n_stable_agents,n_stable_deaths,beta_surv,beta_off,interaction,founder_trait,survivor_trait
uniform,none,0,vectorized,34839,1586.1,0.0453,893,-0.607,1,0,22.1,0.0017,0.0022,0.0011,34638,33112,-0.9771876924043372,0.2609246097619015,10.753038903296245,0.4994,0.0706
uniform,none,1,vectorized,17127,741.9,0.0482,875,-0.27,1,0,5.0,0.0005,0.0025,0.0042,17021,16296,10.14291548132919,0.6525954552620535,34.86124624779592,0.4942,0.1046
uniform,none,2,vectorized,10459,500.0,0.039,925,0.171,1,0,11.6,-0.0303,0.0023,-0.1274,10362,9840,-25.31685719763744,-1.2753742118496365,2.2141491850010633,0.4889,0.5883
uniform,none,3,vectorized,34055,1565.2,0.0403,783,-0.354,1,0,-104.8,0.0268,0.002,0.0645,33858,32306,36.10833603374492,1.0793958269197528,-89.58252594866536,0.4781,0.1525
uniform,none,4,vectorized,9448,403.2,0.0769,298,0.088,1,0,-8.8,0.0275,0.0041,0.0514,9370,8707,24.00205073583629,0.636037436426848,-29.077591031259455,0.5043,0.1448
uniform,none,5,vectorized,23383,1064.8,0.0913,445,0.295,1,0,6.4,0.0072,0.0029,0.0056,23243,20989,7.522406531149484,0.34468302410122464,-35.63979034868225,0.4855,0.0969
uniform,none,6,vectorized,14848,659.3,0.0487,1021,0.476,1,0,6.5,-0.003,0.0026,0.0274,14665,13975,10.80863556771619,-0.4649375023131537,-53.222364919248896,0.5263,0.1833
uniform,none,7,vectorized,8993,396.4,0.1015,407,-0.207,1,0,8.3,0.0432,0.0047,0.1222,8906,8310,76.35085842564071,2.0851356836715147,-121.46510304679558,0.5577,0.0615
uniform,none,8,vectorized,8324,344.6,0.0922,911,-0.352,1,0,-24.5,0.0025,0.0053,0.0537,8224,7867,34.12590024985367,0.28584323466472356,119.51211645081389,0.5187,0.0539
uniform,none,9,vectorized,19477,955.0,0.0336,554,-0.148,0,0,-12.4,-0.0444,0.0027,-0.1548,19270,18361,-42.379899899948526,-0.11430250739910033,-29.081995568148688,0.496,0.3824
uniform,none,10,vectorized,33873,1469.9,0.0491,646,0.358,1,0,-30.9,0.012,0.0019,0.0239,33661,32109,17.800534245985514,0.39061546554884063,-63.89798211545577,0.4981,0.1111
uniform,none,11,vectorized,9719,410.0,0.07,895,0.336,1,0,-3.3,0.0322,0.0039,0.0671,9615,9151,35.18156221150017,0.4042582513953266,-86.57570106905705,0.4877,0.1131
uniform,none,12,vectorized,15789,728.7,0.0499,326,0.02,0,0,-0.1,-0.0117,0.0035,-0.0406,15638,13768,-15.696610354976118,-0.4035764903590594,87.72037976086455,0.5104,0.3642
uniform,none,13,vectorized,22160,1020.9,0.0419,267,0.172,1,0,-29.0,0.0041,0.0026,0.0001,22037,21029,21.72343116086539,-0.0554945600106807,-157.79966730633134,0.4954,0.3139
uniform,none,14,vectorized,38990,1778.5,0.0282,320,-0.226,0,0,-29.8,0.015,0.0017,0.0369,38785,37026,24.338060827507885,0.6825741956416793,-94.12627027955305,0.5295,0.2472
