case,seed,impl,ticks,n_agents,final_pop,extinct,R_s,volatility_cv,osc_amplitude,osc_period,total_deaths,fano_deaths,burst_share_5pct,max_drawdown,dominant_cause,dominant_cause_fano
a3,0,vectorized,3000,34839,1594,0,1586.1,0.0453,0.1463,498,33245,2.07,0.1,0.284,hydration,2.073
a3,1,vectorized,3000,17127,739,0,741.9,0.0482,0.1618,425,16388,1.946,0.13,0.46,hydration,1.947
a3,2,vectorized,3000,10459,528,0,500.0,0.039,0.1261,15,9931,1.278,0.119,0.19,hydration,1.325
a3,3,vectorized,3000,34055,1586,0,1565.2,0.0403,0.1489,,32469,1.905,0.096,0.303,hydration,1.91
a3,4,vectorized,3000,9448,423,0,403.2,0.0769,0.2431,298,9025,1.95,0.151,0.622,hydration,2.004
a3,5,vectorized,3000,23383,1070,0,1064.8,0.0913,0.308,445,22313,2.452,0.122,0.579,hydration,2.453
a3,6,vectorized,3000,14848,676,0,659.3,0.0487,0.1699,1021,14172,1.549,0.121,0.531,hydration,1.648
a3,7,vectorized,3000,8993,398,0,396.4,0.1015,0.3535,407,8595,2.149,0.167,0.687,hydration,2.15
a3,8,vectorized,3000,8324,285,0,344.6,0.0922,0.3134,911,8039,2.353,0.175,0.752,hydration,2.284
a3,9,vectorized,3000,19477,900,0,955.0,0.0336,0.111,,18577,1.47,0.101,0.219,hydration,1.545
a3,10,vectorized,3000,33873,1554,0,1469.9,0.0491,0.1851,646,32319,1.865,0.1,0.345,hydration,1.866
a3,11,vectorized,3000,9719,460,0,410.0,0.07,0.222,895,9259,1.783,0.15,0.627,hydration,1.782
a3,12,vectorized,3000,15789,712,0,728.7,0.0499,0.1798,313,15077,2.801,0.147,0.682,hydration,2.806
a3,13,vectorized,3000,22160,1024,0,1020.9,0.0419,0.1352,,21136,1.926,0.115,0.372,hydration,1.934
a3,14,vectorized,3000,38990,1769,0,1778.5,0.0282,0.0933,320,37221,1.694,0.089,0.288,hydration,1.705
a3,15,vectorized,3000,39355,1698,0,1888.1,0.0439,0.1308,565,37657,1.731,0.089,0.201,hydration,1.735
a3,16,vectorized,3000,21481,991,0,976.6,0.0545,0.171,305,20490,1.618,0.107,0.207,hydration,1.626
a3,17,vectorized,3000,11642,591,0,555.6,0.067,0.2268,450,11051,1.642,0.132,0.515,hydration,1.661
a3,18,vectorized,3000,8591,460,0,515.2,0.0604,0.2096,563,8131,1.689,0.135,0.331,hydration,1.833
a3,19,vectorized,3000,636,25,0,25.6,0.154,0.5471,25,611,1.073,0.374,0.737,hydration,1.081
a4,0,vectorized,3000,17641,0,1,137.3,1.4266,3.9828,,17641,5.86,0.17,1.0,hydration,5.916
a4,1,vectorized,3000,8903,0,1,147.6,1.1644,2.7646,,8903,4.524,0.227,1.0,hydration,4.563
a4,2,vectorized,3000,146,0,1,0,0.0,0.0,,146,1.921,1.0,1.0,hydration,1.845
a4,3,vectorized,3000,20415,338,0,357.4,0.1235,0.4394,,20077,5.449,0.167,0.868,hydration,5.408
a4,4,vectorized,3000,3669,0,1,0,0.0,0.0,,3669,6.005,0.373,1.0,hydration,6.101
a4,5,vectorized,3000,19157,373,0,746.1,0.1467,0.5174,,18784,3.781,0.161,0.876,hydration,3.899
a4,6,vectorized,3000,6770,2,0,164.5,1.1472,3.6052,399,6768,6.694,0.309,0.998,temperature_comfort,5.522
a4,7,vectorized,3000,15287,857,0,710.5,0.2637,0.8374,609,14430,2.292,0.135,0.714,hydration,2.294
a4,8,vectorized,3000,16790,724,0,708.4,0.1331,0.4985,,16066,3.785,0.154,0.786,hydration,3.78
a4,9,vectorized,3000,30804,849,0,1119.5,0.2125,0.7155,280,29955,2.672,0.107,0.679,hydration,2.67
a4,10,vectorized,3000,22746,1006,0,1070.2,0.3757,1.253,366,21740,3.939,0.149,0.843,hydration,3.734
a4,11,vectorized,3000,7613,103,0,187.6,0.7556,2.1693,,7510,2.922,0.196,0.967,hydration,3.033
a4,12,vectorized,3000,13462,306,0,469.9,0.3426,1.0903,358,13156,3.723,0.178,0.855,hydration,3.753
a4,13,vectorized,3000,11081,371,0,367.4,0.1171,0.3974,281,10710,5.214,0.225,0.866,hydration,5.193
a4,14,vectorized,3000,25370,337,0,857.5,0.3908,1.2809,402,25033,3.556,0.131,0.836,hydration,3.405
a4,15,vectorized,3000,33572,1026,0,1387.2,0.1605,0.5134,,32546,2.198,0.103,0.541,hydration,2.246
a4,16,vectorized,3000,11023,0,1,94.4,1.934,5.1473,382,11023,5.918,0.229,1.0,hydration,5.491
a4,17,vectorized,3000,23679,208,0,1064.8,0.2918,1.0993,399,23471,2.765,0.124,0.888,hydration,2.887
a4,18,vectorized,3000,17067,756,0,648.6,0.2741,0.8898,264,16311,3.164,0.154,0.854,hydration,3.06
a4,19,vectorized,3000,121,0,1,0,0.0,0.0,,121,1.674,1.0,1.0,temperature_comfort,1.529
