cap,seed,steady,saturation,peak,final,still_growing
400,0,400.0,1.0,400,400,0
400,1,400.0,1.0,400,400,0
400,2,400.0,1.0,400,400,1.4
400,3,400.0,1.0,400,400,0
400,4,389.0,0.973,400,386,8.1
800,0,800.0,1.0,800,800,0
800,1,769.0,0.961,800,758,-51.2
800,2,515.0,0.644,553,486,-24.9
800,3,800.0,1.0,800,800,0
800,4,421.0,0.526,800,394,-19.7
1500,0,1500.0,1.0,1500,1500,0.4
1500,1,794.0,0.529,1251,766,43.8
1500,2,515.0,0.343,553,486,-24.9
1500,3,1500.0,1.0,1500,1500,-1.2
1500,4,412.0,0.275,927,397,41.0
