condition,seed,martyr,grief_survived,children_taken,search_ticks,martyr_rate
intact,1152019,4,5,18,4151,0.4444
intact,2408767,4,7,17,4696,0.3636
intact,3874973,3,5,15,3532,0.3750
intact,4293889,3,6,16,4170,0.3333
intact,5550637,6,10,24,7478,0.3750
intact,7016843,7,6,15,6407,0.5385
intact,8273591,2,10,19,4993,0.1667
intact,8692507,8,4,20,6345,0.6667
intact,10158713,4,8,16,5372,0.3333
intact,10577629,6,9,18,6907,0.4000
gate_ablated,1152019,0,0,28,0,
gate_ablated,2408767,0,0,16,0,
gate_ablated,3874973,0,0,14,0,
gate_ablated,4293889,0,0,13,0,
gate_ablated,5550637,0,0,18,0,
gate_ablated,7016843,0,0,15,0,
gate_ablated,8273591,0,0,15,0,
gate_ablated,8692507,0,0,19,0,
gate_ablated,10158713,0,0,17,0,
gate_ablated,10577629,0,0,20,0,
private_alarm_channel,1152019,0,9,19,3162,0.0000
private_alarm_channel,2408767,0,9,15,3112,0.0000
private_alarm_channel,3874973,1,7,15,2999,0.1250
private_alarm_channel,4293889,0,10,14,3669,0.0000
private_alarm_channel,5550637,0,13,25,4649,0.0000
private_alarm_channel,7016843,0,13,22,5148,0.0000
private_alarm_channel,8273591,0,13,19,4637,0.0000
private_alarm_channel,8692507,0,11,17,4963,0.0000
private_alarm_channel,10158713,0,12,16,4370,0.0000
private_alarm_channel,10577629,0,19,21,6888,0.0000
