shield_slider,shielding,seed,martyr,grief_survived,children_taken,martyr_rate
0,0.300,1152019,3,6,19,0.3333
0,0.300,2408767,3,7,18,0.3000
0,0.300,3874973,3,5,15,0.3750
0,0.300,4293889,3,6,16,0.3333
0,0.300,5550637,3,12,22,0.2000
0,0.300,7016843,3,10,15,0.2308
0,0.300,8273591,1,10,18,0.0909
0,0.300,8692507,8,4,19,0.6667
0,0.300,10158713,3,9,16,0.2500
0,0.300,10577629,6,9,18,0.4000
0.25,0.470,1152019,4,5,18,0.4444
0.25,0.470,2408767,4,6,16,0.4000
0.25,0.470,3874973,3,5,15,0.3750
0.25,0.470,4293889,3,6,16,0.3333
0.25,0.470,5550637,6,10,24,0.3750
0.25,0.470,7016843,5,8,15,0.3846
0.25,0.470,8273591,1,10,18,0.0909
0.25,0.470,8692507,8,4,19,0.6667
0.25,0.470,10158713,4,8,16,0.3333
0.25,0.470,10577629,6,9,18,0.4000
0.5,0.640,1152019,4,5,18,0.4444
0.5,0.640,2408767,4,5,15,0.4444
0.5,0.640,3874973,3,5,15,0.3750
0.5,0.640,4293889,3,6,16,0.3333
0.5,0.640,5550637,6,10,24,0.3750
0.5,0.640,7016843,5,8,15,0.3846
0.5,0.640,8273591,2,10,19,0.1667
0.5,0.640,8692507,8,5,23,0.6154
0.5,0.640,10158713,4,8,16,0.3333
0.5,0.640,10577629,7,9,19,0.4375
0.81,0.851,1152019,4,5,18,0.4444
0.81,0.851,2408767,4,7,17,0.3636
0.81,0.851,3874973,3,5,15,0.3750
0.81,0.851,4293889,3,6,16,0.3333
0.81,0.851,5550637,6,10,24,0.3750
0.81,0.851,7016843,7,6,15,0.5385
0.81,0.851,8273591,2,10,19,0.1667
0.81,0.851,8692507,8,4,20,0.6667
0.81,0.851,10158713,4,8,16,0.3333
0.81,0.851,10577629,6,9,18,0.4000
1,0.980,1152019,4,5,18,0.4444
1,0.980,2408767,6,6,17,0.5000
1,0.980,3874973,3,5,15,0.3750
1,0.980,4293889,3,6,16,0.3333
1,0.980,5550637,6,10,24,0.3750
1,0.980,7016843,7,6,15,0.5385
1,0.980,8273591,2,10,19,0.1667
1,0.980,8692507,8,4,20,0.6667
1,0.980,10158713,4,8,16,0.3333
1,0.980,10577629,6,10,19,0.3750
