forget_slider,affect_decay,seed,martyr,grief_survived,children_taken,martyr_rate
0,0.00150,1152019,9,0,18,1.0000
0,0.00150,2408767,7,2,15,0.7778
0,0.00150,3874973,7,1,15,0.8750
0,0.00150,4293889,9,0,16,1.0000
0,0.00150,5550637,14,2,24,0.8750
0,0.00150,7016843,11,1,14,0.9167
0,0.00150,8273591,10,1,17,0.9091
0,0.00150,8692507,12,0,18,1.0000
0,0.00150,10158713,11,1,16,0.9167
0,0.00150,10577629,15,1,20,0.9375
0.125,0.00225,1152019,6,3,18,0.6667
0.125,0.00225,2408767,5,4,15,0.5556
0.125,0.00225,3874973,4,4,15,0.5000
0.125,0.00225,4293889,8,1,16,0.8889
0.125,0.00225,5550637,12,4,24,0.7500
0.125,0.00225,7016843,8,5,17,0.6154
0.125,0.00225,8273591,4,7,17,0.3636
0.125,0.00225,8692507,10,2,18,0.8333
0.125,0.00225,10158713,6,6,16,0.5000
0.125,0.00225,10577629,10,6,19,0.6250
0.25,0.00300,1152019,4,5,18,0.4444
0.25,0.00300,2408767,4,7,17,0.3636
0.25,0.00300,3874973,3,5,15,0.3750
0.25,0.00300,4293889,3,6,16,0.3333
0.25,0.00300,5550637,6,10,24,0.3750
0.25,0.00300,7016843,7,6,15,0.5385
0.25,0.00300,8273591,2,10,19,0.1667
0.25,0.00300,8692507,8,4,20,0.6667
0.25,0.00300,10158713,4,8,16,0.3333
0.25,0.00300,10577629,6,9,18,0.4000
0.375,0.00375,1152019,2,7,19,0.2222
0.375,0.00375,2408767,3,9,17,0.2500
0.375,0.00375,3874973,3,5,15,0.3750
0.375,0.00375,4293889,2,6,15,0.2500
0.375,0.00375,5550637,2,14,29,0.1250
0.375,0.00375,7016843,1,12,16,0.0769
0.375,0.00375,8273591,2,9,17,0.1818
0.375,0.00375,8692507,2,11,22,0.1538
0.375,0.00375,10158713,2,11,17,0.1538
0.375,0.00375,10577629,3,12,19,0.2000
0.5,0.00450,1152019,0,9,18,0.0000
0.5,0.00450,2408767,1,9,18,0.1000
0.5,0.00450,3874973,1,7,15,0.1250
0.5,0.00450,4293889,2,6,17,0.2500
0.5,0.00450,5550637,1,13,20,0.0714
0.5,0.00450,7016843,1,14,18,0.0667
0.5,0.00450,8273591,0,11,18,0.0000
0.5,0.00450,8692507,2,13,20,0.1333
0.5,0.00450,10158713,0,12,16,0.0000
0.5,0.00450,10577629,2,14,20,0.1250
0.75,0.00600,1152019,0,9,19,0.0000
0.75,0.00600,2408767,1,11,17,0.0833
0.75,0.00600,3874973,1,7,15,0.1250
0.75,0.00600,4293889,1,7,15,0.1250
0.75,0.00600,5550637,0,15,26,0.0000
0.75,0.00600,7016843,0,11,18,0.0000
0.75,0.00600,8273591,0,12,18,0.0000
0.75,0.00600,8692507,0,10,16,0.0000
0.75,0.00600,10158713,0,13,17,0.0000
0.75,0.00600,10577629,0,16,20,0.0000
1,0.00750,1152019,0,9,20,0.0000
1,0.00750,2408767,0,11,16,0.0000
1,0.00750,3874973,1,7,15,0.1250
1,0.00750,4293889,0,8,14,0.0000
1,0.00750,5550637,0,16,23,0.0000
1,0.00750,7016843,0,12,15,0.0000
1,0.00750,8273591,0,10,17,0.0000
1,0.00750,8692507,0,14,19,0.0000
1,0.00750,10158713,0,12,16,0.0000
1,0.00750,10577629,0,13,18,0.0000
