i,j,affect_decay,shielding,n,died,rate
0,0,0.00150,0.9800,120,113,0.9417
1,0,0.00196,0.9800,120,95,0.7917
2,0,0.00242,0.9800,120,75,0.6250
3,0,0.00288,0.9800,120,43,0.3583
4,0,0.00335,0.9800,120,32,0.2667
5,0,0.00381,0.9800,120,16,0.1333
6,0,0.00427,0.9800,120,3,0.0250
7,0,0.00473,0.9800,120,0,0.0000
8,0,0.00519,0.9800,120,0,0.0000
9,0,0.00565,0.9800,120,0,0.0000
10,0,0.00612,0.9800,120,0,0.0000
11,0,0.00658,0.9800,120,0,0.0000
12,0,0.00704,0.9800,120,0,0.0000
13,0,0.00750,0.9800,120,0,0.0000
0,1,0.00150,0.9277,120,112,0.9333
1,1,0.00196,0.9277,120,89,0.7417
2,1,0.00242,0.9277,120,62,0.5167
3,1,0.00288,0.9277,120,42,0.3500
4,1,0.00335,0.9277,120,33,0.2750
5,1,0.00381,0.9277,120,14,0.1167
6,1,0.00427,0.9277,120,6,0.0500
7,1,0.00473,0.9277,120,1,0.0083
8,1,0.00519,0.9277,120,0,0.0000
9,1,0.00565,0.9277,120,0,0.0000
10,1,0.00612,0.9277,120,0,0.0000
11,1,0.00658,0.9277,120,0,0.0000
12,1,0.00704,0.9277,120,0,0.0000
13,1,0.00750,0.9277,120,0,0.0000
0,2,0.00150,0.8754,120,115,0.9583
1,2,0.00196,0.8754,120,102,0.8500
2,2,0.00242,0.8754,120,67,0.5583
3,2,0.00288,0.8754,120,46,0.3833
4,2,0.00335,0.8754,120,23,0.1917
5,2,0.00381,0.8754,120,13,0.1083
6,2,0.00427,0.8754,120,4,0.0333
7,2,0.00473,0.8754,120,1,0.0083
8,2,0.00519,0.8754,120,0,0.0000
9,2,0.00565,0.8754,120,0,0.0000
10,2,0.00612,0.8754,120,0,0.0000
11,2,0.00658,0.8754,120,0,0.0000
12,2,0.00704,0.8754,120,0,0.0000
13,2,0.00750,0.8754,120,0,0.0000
0,3,0.00150,0.8231,120,108,0.9000
1,3,0.00196,0.8231,120,88,0.7333
2,3,0.00242,0.8231,120,63,0.5250
3,3,0.00288,0.8231,120,42,0.3500
4,3,0.00335,0.8231,120,26,0.2167
5,3,0.00381,0.8231,120,15,0.1250
6,3,0.00427,0.8231,120,1,0.0083
7,3,0.00473,0.8231,120,2,0.0167
8,3,0.00519,0.8231,120,1,0.0083
9,3,0.00565,0.8231,120,0,0.0000
